Date,Open,High,Low,Close,Adj Close
2010-07-30,36.555714,37.099998,36.414288,36.75,31.814383
2010-08-02,37.205715,37.512856,37.08857,37.407143,32.383263
2010-08-03,37.287144,37.60857,37.060001,37.418571,32.393154
2010-08-04,37.548573,37.754284,37.187141,37.568573,32.523029
2010-08-05,37.389999,37.597141,37.221428,37.385715,32.364719
2010-08-06,37.111427,37.355713,36.804287,37.155716,32.165604
2010-08-09,37.354286,37.450001,37.081429,37.392857,32.370895
2010-08-10,37.121429,37.207142,36.792858,37.058571,32.081516
2010-08-11,36.485714,36.527142,35.687141,35.741428,30.941259
2010-08-12,35.241428,36.157143,35.16,35.970001,31.139137
2010-08-13,35.950001,35.982857,35.584286,35.585712,30.806463
2010-08-16,35.368572,35.715714,35.23143,35.377144,30.625906
2010-08-17,35.725716,36.375713,35.599998,35.995716,31.1614
2010-08-18,36.05143,36.381428,35.939999,36.152859,31.29743
2010-08-19,36.119999,36.21143,35.525715,35.697144,30.902927
2010-08-20,35.627144,36.274284,35.57143,35.662857,30.87324
2010-08-23,35.970001,36.0,35.035713,35.114285,30.398338
2010-08-24,34.667141,34.714287,34.092857,34.275715,29.672398
2010-08-25,34.005714,34.855713,33.885715,34.69857,30.038467
2010-08-26,35.064285,35.107143,34.325714,34.325714,29.715677
2010-08-27,34.535713,34.658573,33.651428,34.517143,29.881397
2010-08-30,34.394287,35.107143,34.382858,34.642857,29.990227
2010-08-31,34.549999,34.937141,34.335712,34.728573,30.064436
2010-09-01,35.352856,35.922855,35.182858,35.761429,30.958572
2010-09-02,35.894287,36.024284,35.509998,36.024284,31.186125
2010-09-03,36.441429,36.968571,36.357143,36.967144,32.002354
2010-09-07,36.662857,37.075714,36.607143,36.830002,31.883636
2010-09-08,37.111427,37.77,37.014286,37.560001,32.51561
2010-09-09,37.862858,38.074287,37.560001,37.581429,32.534145
2010-09-10,37.598572,37.785713,37.342857,37.630001,32.576195
2010-09-13,37.974285,38.325714,37.965714,38.148571,33.02512
2010-09-14,38.029999,38.452858,37.931427,38.294285,33.151253
2010-09-15,38.310001,38.625713,38.262856,38.602856,33.418404
2010-09-16,38.605713,39.524284,38.5,39.509998,34.203705
2010-09-17,39.669998,39.708572,39.097141,39.33857,34.055305
2010-09-20,39.439999,40.540001,39.407143,40.46143,35.027351
2010-09-21,40.55143,41.049999,40.398571,40.53857,35.094143
2010-09-22,40.387142,41.139999,40.344284,41.107143,35.586349
2010-09-23,40.904285,41.822857,40.857143,41.274284,35.73103
2010-09-24,41.728573,41.932858,41.507141,41.759998,36.151516
2010-09-27,41.997143,42.104286,41.572857,41.594284,36.008068
2010-09-28,41.681427,41.681427,39.285713,40.98,35.476269
2010-09-29,41.032856,41.401428,40.857143,41.052856,35.539349
2010-09-30,41.285713,41.42857,40.17857,40.535713,35.09166
2010-10-01,40.878571,40.939999,40.192856,40.360001,34.939545
2010-10-04,40.228573,40.414288,39.681427,39.805714,34.459702
2010-10-05,40.285713,41.349998,40.259998,41.277142,35.733513
2010-10-06,41.369999,41.712856,40.751427,41.312859,35.764439
2010-10-07,41.477142,41.497143,40.987144,41.317142,35.768143
2010-10-08,41.672855,42.07143,41.42857,42.009998,36.367954
2010-10-11,42.105713,42.462856,42.085712,42.194286,36.527481
2010-10-12,42.201427,42.785713,41.784286,42.648571,36.920757
2010-10-13,42.885715,43.137142,42.828571,42.877144,37.118629
2010-10-14,43.098572,43.209999,42.914288,43.187141,37.387001
2010-10-15,43.919998,45.0,43.558571,44.962856,38.924232
2010-10-18,45.495716,45.57143,44.898571,45.42857,39.3274
2010-10-19,43.342857,44.824287,42.860001,44.212856,38.27496
2010-10-20,44.142857,44.892857,43.83857,44.361427,38.40358
2010-10-21,44.622856,44.962856,43.828571,44.217144,38.278667
2010-10-22,44.152859,44.291428,43.757141,43.924286,38.025139
2010-10-25,44.155716,44.514286,44.062859,44.119999,38.194569
2010-10-26,43.83857,44.248573,43.664288,44.007141,38.096863
2010-10-27,43.950001,44.271427,43.657143,43.975716,38.069653
2010-10-28,43.992859,44.0,42.985714,43.605713,37.749355
2010-10-29,43.46143,43.697144,42.98143,42.997143,37.222515
2010-11-01,43.174286,43.657143,43.171429,43.454285,37.618259
2010-11-02,43.857143,44.312859,43.857143,44.194286,38.258869
2010-11-03,44.48143,44.697144,44.075714,44.685715,38.684299
2010-11-04,45.064285,45.740002,45.004284,45.467144,39.360783
2010-11-05,45.427143,45.652859,45.25,45.304287,39.21981
2010-11-08,45.314285,45.681427,45.251427,45.517143,39.404072
2010-11-09,45.864285,45.900002,44.92857,45.154285,39.089947
2010-11-10,45.234287,45.53857,44.792858,45.432858,39.331104
2010-11-11,45.0,45.485714,44.892857,45.235714,39.160442
2010-11-12,45.142857,45.214287,43.375713,44.004284,38.094391
2010-11-15,44.065716,44.362858,43.752857,43.862858,37.971966
2010-11-16,43.674286,43.942856,42.759998,43.084286,37.297951
2010-11-17,43.028572,43.427143,42.537144,42.92857,37.163139
2010-11-18,43.599998,44.238571,43.527142,44.061428,38.143871
2010-11-19,43.995716,44.057144,43.605713,43.818573,37.933628
2010-11-22,43.811428,44.765713,43.695713,44.765713,38.753555
2010-11-23,44.349998,44.535713,43.794285,44.104286,38.180965
